Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Estimated_Recreational_hr,Estimated_Educational_hr,Threshold_Limit_hr
14,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural,3.1940298507462686,1.0859701492537317,4.0
11,Female,5.34,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,3.8142857142857145,1.5257142857142854,4.0
16,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural,2.5,1.0,6.0
10,Male,11.68,TV,True,0.47,Poor Sleep,Urban,7.945578231292517,3.7344217687074828,2.0
12,Female,1.63,Smartphone,False,0.5,,Urban,1.0866666666666667,0.5433333333333332,4.0
10,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban,3.1496598639455784,1.4803401360544215,2.0
14,Male,4.21,TV,True,0.38,Poor Sleep,Urban,3.0507246376811596,1.1592753623188403,4.0
12,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,3.0399999999999996,1.52,4.0
16,Female,3.51,TV,True,0.44,"Poor Sleep, Anxiety",Urban,2.4375,1.0724999999999998,6.0
14,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban,3.4740740740740743,1.215925925925926,4.0
9,Male,7.61,TV,True,0.5,Poor Sleep,Urban,5.073333333333333,2.536666666666667,2.0
11,Male,2.75,Smartphone,False,0.35,,Rural,2.0370370370370368,0.7129629629629632,4.0
16,Male,6.74,TV,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,4.746478873239437,1.9935211267605633,6.0
9,Female,0.0,Smartphone,False,0.47,,Urban,0.0,0.0,2.0
17,Male,2.34,Smartphone,False,0.48,,Rural,1.581081081081081,0.7589189189189189,6.0
16,Male,2.85,Smartphone,False,0.3,,Rural,2.1923076923076925,0.6576923076923076,6.0
17,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,3.0863309352517985,1.2036690647482016,6.0
12,Male,6.03,TV,True,0.39,"Poor Sleep, Anxiety",Urban,4.338129496402877,1.6918705035971229,4.0
9,Female,1.06,Smartphone,False,0.42,,Urban,0.7464788732394367,0.3135211267605633,2.0
11,Male,2.83,Smartphone,False,0.4,,Urban,2.021428571428572,0.8085714285714283,4.0
14,Male,3.92,Smartphone,True,0.47,,Urban,2.6666666666666665,1.2533333333333334,4.0
15,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,3.2733812949640284,1.2766187050359714,6.0
10,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural,4.397435897435898,2.4625641025641025,2.0
8,Male,3.47,TV,True,0.41,"Poor Sleep, Obesity Risk",Rural,2.4609929078014185,1.0090070921985816,2.0
11,Female,4.61,Tablet,True,0.46,Poor Sleep,Urban,3.157534246575343,1.4524657534246574,4.0
9,Male,0.0,Smartphone,False,0.59,,Rural,0.0,0.0,2.0
15,Male,3.47,Smartphone,True,0.41,,Rural,2.4609929078014185,1.0090070921985816,6.0
11,Male,4.31,TV,True,0.42,Poor Sleep,Urban,3.0352112676056335,1.274788732394366,4.0
9,Male,2.3,Smartphone,True,0.45,,Urban,1.586206896551724,0.7137931034482758,2.0
13,Male,4.5,Laptop,True,0.38,,Urban,3.2608695652173916,1.2391304347826084,4.0
13,Female,2.65,Laptop,False,0.38,,Rural,1.9202898550724639,0.729710144927536,4.0
17,Male,5.34,Laptop,True,0.43,,Urban,3.734265734265734,1.6057342657342657,6.0
11,Male,3.87,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,2.7062937062937067,1.1637062937062934,4.0
13,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban,4.021276595744681,1.6487234042553185,4.0
9,Female,3.8,TV,True,0.53,"Poor Sleep, Eye Strain",Rural,2.4836601307189543,1.3163398692810455,2.0
17,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural,3.4402985074626864,1.169701492537314,6.0
9,Male,0.9,Tablet,False,0.6,,Rural,0.5625,0.3375,2.0
17,Female,3.3,TV,True,0.42,,Urban,2.323943661971831,0.9760563380281688,6.0
11,Male,5.12,TV,True,0.31,Poor Sleep,Urban,3.9083969465648853,1.2116030534351148,4.0
15,Female,5.82,TV,True,0.48,Poor Sleep,Urban,3.9324324324324325,1.8875675675675678,6.0
14,Female,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,2.9047619047619047,1.365238095238095,4.0
16,Male,5.79,Smartphone,True,0.35,Poor Sleep,Urban,4.288888888888889,1.5011111111111113,6.0
15,Female,2.69,TV,False,0.32,,Urban,2.0378787878787876,0.6521212121212123,6.0
12,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban,2.527777777777778,1.112222222222222,4.0
9,Male,4.23,TV,True,0.46,,Urban,2.897260273972603,1.3327397260273974,2.0
12,Male,6.15,Laptop,True,0.41,Poor Sleep,Urban,4.361702127659575,1.7882978723404257,4.0
15,Female,5.72,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,4.300751879699248,1.419248120300752,6.0
17,Male,3.41,Laptop,True,0.31,,Rural,2.6030534351145036,0.8069465648854965,6.0
16,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban,3.006756756756757,1.4432432432432432,6.0
16,Male,2.9,Smartphone,False,0.31,,Urban,2.213740458015267,0.6862595419847328,6.0
8,Female,7.54,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,5.164383561643835,2.3756164383561647,2.0
16,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",Urban,2.9324324324324325,1.4075675675675674,6.0
14,Female,5.43,Smartphone,True,0.49,,Urban,3.6442953020134228,1.785704697986577,4.0
16,Female,4.78,Tablet,True,0.33,"Poor Sleep, Anxiety",Rural,3.593984962406015,1.186015037593985,6.0
15,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,2.4594594594594597,1.1805405405405405,6.0
8,Female,1.67,Smartphone,False,0.45,,Rural,1.1517241379310346,0.5182758620689654,2.0
15,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",Rural,3.4929577464788735,1.4670422535211265,6.0
15,Male,5.91,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,4.104166666666667,1.8058333333333332,6.0
18,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural,4.532374100719424,1.767625899280576,6.0
10,Female,0.0,Tablet,False,0.4,,Urban,0.0,0.0,2.0
8,Male,3.39,TV,True,0.43,,Rural,2.370629370629371,1.0193706293706293,2.0
15,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,2.704545454545454,0.8654545454545457,6.0
10,Female,1.36,Smartphone,False,0.57,,Urban,0.8662420382165607,0.49375796178343945,2.0
10,Male,0.0,Smartphone,False,0.45,,Rural,0.0,0.0,2.0
8,Male,2.75,TV,True,0.53,,Rural,1.7973856209150327,0.9526143790849673,2.0
18,Female,6.4,Smartphone,True,0.32,,Urban,4.848484848484849,1.5515151515151517,6.0
12,Female,3.77,Laptop,True,0.48,Poor Sleep,Rural,2.5472972972972974,1.2227027027027026,4.0
17,Female,4.73,Smartphone,True,0.47,Poor Sleep,Urban,3.217687074829932,1.5123129251700682,6.0
14,Male,5.76,Tablet,True,0.4,Poor Sleep,Urban,4.114285714285715,1.645714285714285,4.0
17,Female,2.78,Smartphone,False,0.34,,Urban,2.0746268656716413,0.7053731343283585,6.0
16,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural,2.8273381294964026,1.1026618705035975,6.0
14,Male,4.61,TV,True,0.31,Obesity Risk,Urban,3.519083969465649,1.0909160305343515,4.0
16,Male,5.67,TV,True,0.49,Poor Sleep,Urban,3.8053691275167787,1.8646308724832212,6.0
15,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban,3.2214285714285715,1.2885714285714283,6.0
9,Female,0.45,Smartphone,False,0.46,,Rural,0.3082191780821918,0.14178082191780822,2.0
8,Male,2.52,Smartphone,True,0.58,,Urban,1.5949367088607593,0.9250632911392407,2.0
14,Male,6.04,Smartphone,True,0.39,,Urban,4.345323741007194,1.6946762589928062,4.0
14,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural,4.149659863945578,1.9503401360544217,4.0
15,Male,5.61,Smartphone,True,0.39,Obesity Risk,Urban,4.0359712230215825,1.5740287769784178,6.0
12,Male,2.34,Smartphone,False,0.37,,Urban,1.7080291970802917,0.6319708029197082,4.0
10,Male,6.86,TV,True,0.56,Poor Sleep,Urban,4.397435897435898,2.4625641025641025,2.0
15,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural,2.8854961832061066,0.8945038167938932,6.0
13,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban,3.243055555555556,1.4269444444444441,4.0
18,Male,3.25,Tablet,True,0.45,"Poor Sleep, Eye Strain",Rural,2.241379310344828,1.0086206896551722,6.0
10,Male,4.98,Smartphone,True,0.46,,Rural,3.4109589041095894,1.569041095890411,2.0
8,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,3.6,1.6199999999999997,2.0
10,Female,5.02,TV,True,0.6,,Urban,3.1374999999999997,1.8824999999999998,2.0
12,Male,6.06,Smartphone,True,0.43,Eye Strain,Urban,4.2377622377622375,1.8222377622377621,4.0
10,Female,1.86,Smartphone,False,0.46,,Rural,1.2739726027397262,0.5860273972602739,2.0
8,Female,6.48,Smartphone,True,0.48,,Rural,4.378378378378379,2.1016216216216215,2.0
12,Male,4.37,Laptop,True,0.46,Eye Strain,Rural,2.993150684931507,1.376849315068493,4.0
17,Male,4.16,Laptop,True,0.31,Poor Sleep,Rural,3.1755725190839694,0.9844274809160307,6.0
14,Female,3.91,Laptop,True,0.39,Eye Strain,Urban,2.8129496402877696,1.0970503597122305,4.0
14,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban,3.2198581560283692,1.3201418439716308,4.0
18,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,3.3999999999999995,1.1900000000000004,6.0
16,Female,2.42,Smartphone,False,0.45,,Urban,1.6689655172413793,0.7510344827586206,6.0
17,Male,6.78,Smartphone,True,0.49,Poor Sleep,Urban,4.550335570469799,2.2296644295302013,6.0
17,Female,4.19,TV,True,0.48,Obesity Risk,Rural,2.8310810810810816,1.3589189189189188,6.0
10,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural,2.2094594594594597,1.0605405405405404,2.0
14,Male,6.01,Tablet,True,0.34,"Poor Sleep, Eye Strain",Urban,4.485074626865671,1.5249253731343284,4.0
8,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban,3.16,1.58,2.0
11,Female,3.42,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,2.3916083916083917,1.0283916083916083,4.0
11,Female,5.47,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,3.879432624113475,1.5905673758865246,4.0
12,Female,6.28,Smartphone,True,0.32,Poor Sleep,Rural,4.757575757575758,1.5224242424242425,4.0
14,Male,3.26,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,2.232876712328767,1.0271232876712326,4.0
14,Male,6.06,Smartphone,True,0.38,Anxiety,Urban,4.391304347826087,1.6686956521739127,4.0
18,Female,4.67,TV,True,0.32,Poor Sleep,Urban,3.5378787878787876,1.1321212121212123,6.0
11,Male,3.75,Smartphone,True,0.43,,Urban,2.6223776223776225,1.1276223776223775,4.0
14,Female,6.7,Smartphone,True,0.3,"Poor Sleep, Eye Strain",Urban,5.153846153846154,1.546153846153846,4.0
18,Female,3.58,Smartphone,True,0.38,,Urban,2.594202898550725,0.985797101449275,6.0
10,Female,2.51,TV,True,0.47,,Rural,1.7074829931972788,0.802517006802721,2.0
13,Male,5.24,Smartphone,True,0.43,Poor Sleep,Urban,3.6643356643356646,1.5756643356643356,4.0
9,Female,0.0,Tablet,False,0.49,,Rural,0.0,0.0,2.0
17,Female,5.14,Smartphone,True,0.36,Poor Sleep,Urban,3.7794117647058822,1.3605882352941174,6.0
16,Female,3.7,Tablet,True,0.33,Eye Strain,Urban,2.781954887218045,0.9180451127819551,6.0
12,Male,4.79,TV,True,0.32,Poor Sleep,Urban,3.6287878787878785,1.1612121212121216,4.0
13,Male,3.3,Tablet,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural,2.3076923076923075,0.9923076923076923,4.0
11,Female,5.97,Smartphone,True,0.5,Poor Sleep,Urban,3.98,1.9899999999999998,4.0
18,Female,3.05,Smartphone,True,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban,2.2262773722627736,0.8237226277372263,6.0
17,Female,5.18,Smartphone,True,0.42,Eye Strain,Urban,3.647887323943662,1.5321126760563377,6.0
14,Female,3.66,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban,2.7518796992481205,0.9081203007518797,4.0
16,Male,4.08,Smartphone,True,0.47,,Urban,2.7755102040816326,1.3044897959183674,6.0
14,Female,4.41,TV,True,0.32,,Urban,3.340909090909091,1.0690909090909093,4.0
8,Female,4.84,Smartphone,True,0.54,Poor Sleep,Urban,3.142857142857143,1.697142857142857,2.0
8,Female,6.82,Smartphone,True,0.52,,Rural,4.486842105263158,2.333157894736842,2.0
16,Female,4.6,Smartphone,True,0.4,Poor Sleep,Urban,3.2857142857142856,1.314285714285714,6.0
18,Female,4.06,Smartphone,True,0.44,Poor Sleep,Urban,2.819444444444444,1.2405555555555554,6.0
16,Female,6.5,TV,True,0.49,,Urban,4.3624161073825505,2.1375838926174495,6.0
11,Female,4.21,TV,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,3.2384615384615385,0.9715384615384615,4.0
16,Female,7.07,Laptop,True,0.36,Poor Sleep,Urban,5.1985294117647065,1.8714705882352938,6.0
10,Male,2.48,Smartphone,True,0.51,,Rural,1.6423841059602649,0.8376158940397351,2.0
14,Female,4.06,Smartphone,True,0.42,Poor Sleep,Urban,2.8591549295774645,1.200845070422535,4.0
13,Male,3.9,Smartphone,True,0.36,,Urban,2.8676470588235294,1.0323529411764705,4.0
15,Female,2.38,TV,False,0.33,,Urban,1.789473684210526,0.5905263157894738,6.0
18,Female,6.59,Laptop,True,0.39,Poor Sleep,Rural,4.741007194244604,1.8489928057553957,6.0
16,Male,5.6,Laptop,True,0.4,Poor Sleep,Rural,4.0,1.5999999999999996,6.0
12,Male,5.32,Laptop,True,0.31,Poor Sleep,Urban,4.061068702290076,1.2589312977099238,4.0
8,Male,4.82,TV,True,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural,3.1920529801324506,1.6279470198675496,2.0
10,Male,3.69,TV,True,0.56,Poor Sleep,Urban,2.3653846153846154,1.3246153846153845,2.0
17,Male,4.17,TV,True,0.39,Poor Sleep,Urban,2.9999999999999996,1.1700000000000004,6.0
15,Male,4.09,TV,True,0.35,"Poor Sleep, Anxiety",Urban,3.0296296296296292,1.0603703703703706,6.0
18,Male,5.83,Smartphone,True,0.39,Anxiety,Rural,4.194244604316546,1.6357553956834536,6.0
13,Female,4.74,Laptop,True,0.44,Poor Sleep,Rural,3.291666666666667,1.4483333333333333,4.0
15,Female,4.01,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,2.8848920863309346,1.1251079136690652,6.0
16,Female,2.59,Laptop,False,0.44,,Urban,1.7986111111111112,0.7913888888888887,6.0
11,Female,4.94,Smartphone,True,0.45,Poor Sleep,Urban,3.4068965517241385,1.5331034482758619,4.0
8,Male,4.15,TV,True,0.59,Eye Strain,Rural,2.6100628930817615,1.5399371069182388,2.0
8,Male,0.3,TV,False,0.48,,Urban,0.2027027027027027,0.0972972972972973,2.0
17,Female,4.75,Tablet,True,0.37,Obesity Risk,Rural,3.4671532846715327,1.2828467153284673,6.0
11,Male,5.12,Laptop,True,0.48,,Urban,3.4594594594594597,1.6605405405405405,4.0
14,Male,3.2,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,2.285714285714286,0.9142857142857141,4.0
9,Male,5.72,Smartphone,True,0.51,Eye Strain,Urban,3.7880794701986753,1.9319205298013244,2.0
10,Male,6.8,TV,True,0.43,,Rural,4.755244755244755,2.044755244755245,2.0
8,Female,4.73,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,3.3309859154929584,1.399014084507042,2.0
12,Male,1.51,Smartphone,False,0.5,,Urban,1.0066666666666666,0.5033333333333334,4.0
8,Female,7.74,Tablet,True,0.5,Poor Sleep,Urban,5.16,2.58,2.0
15,Female,5.08,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,3.819548872180451,1.260451127819549,6.0
8,Female,1.13,TV,False,0.41,,Urban,0.801418439716312,0.3285815602836879,2.0
18,Male,5.12,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural,3.5068493150684934,1.6131506849315067,6.0
8,Male,6.34,TV,True,0.51,Poor Sleep,Urban,4.198675496688741,2.1413245033112585,2.0
9,Female,5.05,Smartphone,True,0.58,Poor Sleep,Urban,3.1962025316455693,1.8537974683544305,2.0
9,Female,0.73,Smartphone,False,0.58,,Urban,0.46202531645569617,0.2679746835443038,2.0
13,Male,5.49,Smartphone,True,0.45,Poor Sleep,Urban,3.7862068965517244,1.7037931034482758,4.0
14,Female,4.51,Laptop,True,0.36,Poor Sleep,Urban,3.3161764705882355,1.1938235294117643,4.0
12,Male,2.9,Smartphone,False,0.48,,Urban,1.9594594594594594,0.9405405405405405,4.0
8,Male,6.29,Tablet,True,0.49,Poor Sleep,Urban,4.221476510067114,2.068523489932886,2.0
8,Male,2.1,Smartphone,True,0.5,,Urban,1.4000000000000001,0.7,2.0
10,Female,4.53,TV,True,0.47,Poor Sleep,Urban,3.0816326530612246,1.4483673469387757,2.0
9,Female,2.44,Tablet,True,0.48,,Rural,1.6486486486486487,0.7913513513513513,2.0
12,Female,2.14,Smartphone,False,0.4,,Urban,1.5285714285714287,0.6114285714285714,4.0
17,Female,2.72,Smartphone,False,0.33,,Urban,2.045112781954887,0.6748872180451131,6.0
13,Female,4.49,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,3.184397163120568,1.3056028368794323,4.0
14,Female,3.15,Tablet,True,0.38,,Urban,2.282608695652174,0.8673913043478261,4.0
11,Male,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Rural,2.633802816901409,1.1061971830985913,4.0
14,Female,3.82,Tablet,True,0.46,Poor Sleep,Urban,2.6164383561643834,1.2035616438356165,4.0
18,Female,6.53,TV,True,0.43,Poor Sleep,Urban,4.566433566433567,1.9635664335664336,6.0
15,Female,4.54,Laptop,True,0.46,"Poor Sleep, Eye Strain",Urban,3.1095890410958904,1.4304109589041096,6.0
18,Female,3.87,Laptop,True,0.36,,Urban,2.845588235294118,1.024411764705882,6.0
8,Female,0.1,Tablet,False,0.5,,Rural,0.06666666666666667,0.03333333333333334,2.0
13,Male,4.44,Smartphone,True,0.39,Poor Sleep,Urban,3.194244604316547,1.2457553956834535,4.0
15,Male,4.75,Smartphone,True,0.44,,Rural,3.298611111111111,1.4513888888888888,6.0
12,Female,3.65,Tablet,True,0.4,Eye Strain,Urban,2.607142857142857,1.0428571428571427,4.0
11,Male,3.85,Laptop,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,2.9389312977099236,0.9110687022900765,4.0
9,Male,2.32,TV,True,0.51,,Urban,1.5364238410596025,0.7835761589403973,2.0
13,Male,3.65,Laptop,True,0.37,"Poor Sleep, Eye Strain",Rural,2.6642335766423355,0.9857664233576644,4.0
13,Female,5.78,TV,True,0.43,"Poor Sleep, Obesity Risk",Rural,4.0419580419580425,1.7380419580419577,4.0
18,Male,2.96,TV,False,0.43,,Urban,2.06993006993007,0.89006993006993,6.0
8,Female,0.91,Smartphone,False,0.43,,Urban,0.6363636363636365,0.27363636363636357,2.0
16,Male,4.17,Smartphone,True,0.36,"Poor Sleep, Eye Strain",Urban,3.0661764705882355,1.1038235294117644,6.0
18,Male,3.98,Laptop,True,0.37,Poor Sleep,Urban,2.9051094890510947,1.0748905109489053,6.0
13,Male,2.94,Smartphone,False,0.43,,Urban,2.055944055944056,0.8840559440559441,4.0
10,Female,6.63,TV,True,0.54,"Poor Sleep, Eye Strain",Urban,4.305194805194805,2.3248051948051947,2.0
11,Male,2.9,TV,False,0.36,,Urban,2.1323529411764706,0.7676470588235293,4.0
18,Female,5.84,Smartphone,True,0.43,Eye Strain,Urban,4.083916083916084,1.7560839160839157,6.0
11,Male,4.78,Smartphone,True,0.39,"Poor Sleep, Anxiety",Rural,3.4388489208633093,1.341151079136691,4.0
10,Male,4.13,Smartphone,True,0.4,Poor Sleep,Urban,2.95,1.1799999999999997,2.0
17,Male,3.67,Smartphone,True,0.34,Poor Sleep,Urban,2.7388059701492535,0.9311940298507464,6.0
10,Male,3.02,TV,True,0.46,"Poor Sleep, Obesity Risk",Rural,2.068493150684932,0.9515068493150682,2.0
10,Female,1.92,TV,False,0.41,,Urban,1.3617021276595744,0.5582978723404255,2.0
11,Female,4.16,Laptop,True,0.36,"Anxiety, Obesity Risk",Urban,3.058823529411765,1.1011764705882352,4.0
14,Male,3.9,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,2.846715328467153,1.0532846715328468,4.0
11,Female,6.12,TV,True,0.34,,Urban,4.567164179104477,1.552835820895523,4.0
16,Male,6.23,Smartphone,True,0.47,Obesity Risk,Rural,4.238095238095238,1.9919047619047623,6.0
8,Male,2.87,Smartphone,True,0.52,,Urban,1.8881578947368423,0.9818421052631578,2.0
15,Male,4.88,Smartphone,True,0.34,"Poor Sleep, Obesity Risk",Urban,3.6417910447761193,1.2382089552238806,6.0
14,Female,2.61,Smartphone,False,0.38,,Rural,1.891304347826087,0.718695652173913,4.0
9,Female,1.19,Tablet,False,0.45,,Urban,0.8206896551724138,0.3693103448275862,2.0
15,Male,2.54,Laptop,False,0.3,,Urban,1.9538461538461538,0.5861538461538462,6.0
8,Male,5.36,Tablet,True,0.56,Poor Sleep,Urban,3.435897435897436,1.9241025641025642,2.0
18,Male,4.18,TV,True,0.31,,Urban,3.1908396946564883,0.9891603053435114,6.0
16,Male,4.47,TV,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban,3.125874125874126,1.344125874125874,6.0
16,Female,5.91,TV,True,0.38,Anxiety,Rural,4.282608695652175,1.6273913043478254,6.0
9,Female,1.64,Smartphone,False,0.49,,Urban,1.1006711409395973,0.5393288590604026,2.0
14,Female,4.13,Smartphone,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Rural,2.771812080536913,1.358187919463087,4.0
17,Male,1.97,Smartphone,False,0.44,,Rural,1.3680555555555556,0.6019444444444444,6.0
10,Female,0.21,Smartphone,False,0.5,,Urban,0.13999999999999999,0.07,2.0
14,Female,3.27,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban,2.2551724137931037,1.0148275862068963,4.0
17,Female,4.62,Smartphone,True,0.38,,Urban,3.347826086956522,1.2721739130434782,6.0
16,Female,4.14,Smartphone,True,0.41,"Poor Sleep, Eye Strain",Urban,2.9361702127659575,1.2038297872340422,6.0
11,Female,3.82,Laptop,True,0.5,"Eye Strain, Anxiety",Urban,2.5466666666666664,1.2733333333333334,4.0
8,Female,4.69,Smartphone,True,0.59,Poor Sleep,Urban,2.9496855345911954,1.740314465408805,2.0
9,Male,3.59,Smartphone,True,0.44,,Rural,2.4930555555555554,1.0969444444444445,2.0
8,Male,3.28,Tablet,True,0.46,Anxiety,Rural,2.2465753424657535,1.0334246575342463,2.0
12,Male,3.94,TV,True,0.44,Poor Sleep,Urban,2.736111111111111,1.2038888888888888,4.0
12,Male,6.34,Laptop,True,0.43,,Rural,4.433566433566433,1.9064335664335665,4.0
18,Female,5.16,Smartphone,True,0.47,Poor Sleep,Urban,3.5102040816326534,1.6497959183673467,6.0
14,Male,2.89,Laptop,False,0.4,,Rural,2.0642857142857145,0.8257142857142856,4.0
